MATERIAL,year_month,QTY_BASEUOM_SUM,SALES_SUM,H1,CHNL_NAME
231,2018-08,1,0.0,Fruits,B2B
231,2018-09,12,23.52,Fruits,B2B
231,2019-01,28,51.04,Fruits,B2B
231,2019-02,14,27.72,Fruits,B2B
231,2019-03,55,108.83,Fruits,B2B
231,2019-04,43,81.67,Fruits,B2B
231,2019-05,121,244.22,Fruits,B2B
231,2019-06,51,100.37,Fruits,B2B
231,2019-07,193,388.6,Fruits,B2B
231,2019-08,172,345.54999999999995,Fruits,B2B
231,2019-09,194,395.44,Fruits,B2B
231,2019-10,213,430.4,Fruits,B2B
231,2019-11,213,435.06,Fruits,B2B
231,2019-12,143,292.71,Fruits,B2B
231,2020-01,239,472.93,Fruits,B2B
231,2020-02,247,497.78,Fruits,B2B
231,2020-03,155,333.83000000000004,Fruits,B2B
231,2020-04,64,141.2,Fruits,B2B
231,2020-05,14,31.32,Fruits,B2B
231,2020-06,117,263.43,Fruits,B2B
231,2020-07,159,339.79,Fruits,B2B
231,2020-08,296,635.21,Fruits,B2B
231,2020-09,154,343.3,Fruits,B2B
231,2020-10,459,1015.44,Fruits,B2B
231,2020-11,291,642.28,Fruits,B2B
231,2020-12,276,613.71,Fruits,B2B
231,2021-01,286,626.02,Fruits,B2B
231,2021-02,219,485.64,Fruits,B2B
231,2021-03,237,520.12,Fruits,B2B
231,2021-04,177,392.5,Fruits,B2B
231,2021-05,242,532.5,Fruits,B2B
231,2021-06,151,406.55,Fruits,B2B
231,2021-07,201,547.55,Fruits,B2B
231,2021-08,139,374.24,Fruits,B2B
231,2021-09,323,856.71,Fruits,B2B
231,2021-10,423,1120.83,Fruits,B2B
231,2021-11,264,688.9200000000001,Fruits,B2B
231,2021-12,428,1177.04,Fruits,B2B
231,2022-01,157,448.71,Fruits,B2B
231,2022-02,168,483.93,Fruits,B2B
231,2022-03,198,606.0799999999999,Fruits,B2B
231,2022-04,379,1157.1,Fruits,B2B
231,2022-05,136,414.64,Fruits,B2B
231,2022-06,149,397.72,Fruits,B2B
231,2022-07,215,526.86,Fruits,B2B
231,2022-08,350,771.08,Fruits,B2B
231,2022-09,256,568.52,Fruits,B2B
231,2022-10,337,727.31,Fruits,B2B
231,2022-11,206,481.1,Fruits,B2B
231,2022-12,259,560.79,Fruits,B2B
231,2023-01,226,544.86,Fruits,B2B
231,2023-02,281,662.14,Fruits,B2B
231,2023-03,238,543.98,Fruits,B2B
231,2023-04,220,482.33,Fruits,B2B
231,2023-05,252,561.39,Fruits,B2B
231,2023-06,166,378.4,Fruits,B2B
231,2023-07,200,442.03,Fruits,B2B
231,2023-08,208,471.04,Fruits,B2B
231,2023-09,170,377.6,Fruits,B2B
231,2023-10,92,241.48,Fruits,B2B
231,2023-11,249,740.48,Fruits,B2B
231,2023-12,61,179.08,Fruits,B2B
231,2024-01,205,602.3199999999999,Fruits,B2B
231,2024-02,244,689.92,Fruits,B2B
231,2024-03,244,727.28,Fruits,B2B
231,2024-04,259,763.48,Fruits,B2B
231,2024-05,207,621.0,Fruits,B2B
294,2018-08,1,40.0,Fruits,B2B
294,2018-11,3,116.0,Fruits,B2B
294,2019-01,118,4472.0,Fruits,B2B
294,2019-02,46,1816.0,Fruits,B2B
294,2019-03,74,2872.5,Fruits,B2B
294,2019-04,69,2736.0,Fruits,B2B
294,2019-05,87,3396.5,Fruits,B2B
294,2019-06,65,2531.5,Fruits,B2B
294,2019-07,96,3791.0,Fruits,B2B
294,2019-08,95,3806.0,Fruits,B2B
294,2019-09,106,4224.0,Fruits,B2B
294,2019-10,76,2948.5,Fruits,B2B
294,2019-11,135,4915.5,Fruits,B2B
294,2019-12,204,7219.0,Fruits,B2B
294,2020-01,232,8055.0,Fruits,B2B
294,2020-02,77,2991.5,Fruits,B2B
294,2020-03,59,2272.5,Fruits,B2B
294,2020-04,88,3440.5,Fruits,B2B
294,2020-05,123,4731.5,Fruits,B2B
294,2020-06,130,5027.0,Fruits,B2B
294,2020-07,124,4827.5,Fruits,B2B
294,2020-08,130,5038.5,Fruits,B2B
294,2020-09,99,3856.0,Fruits,B2B
294,2020-10,114,4441.0,Fruits,B2B
294,2020-11,192,7026.5,Fruits,B2B
294,2020-12,220,8049.5,Fruits,B2B
294,2021-01,248,8953.5,Fruits,B2B
294,2021-02,139,5095.0,Fruits,B2B
294,2021-03,126,4722.5,Fruits,B2B
294,2021-04,151,5605.5,Fruits,B2B
294,2021-05,153,5634.0,Fruits,B2B
294,2021-06,145,5294.0,Fruits,B2B
294,2021-07,162,5994.5,Fruits,B2B
294,2021-08,171,6433.5,Fruits,B2B
294,2021-09,118,4321.0,Fruits,B2B
294,2021-10,136,4982.0,Fruits,B2B
294,2021-11,186,6913.0,Fruits,B2B
294,2021-12,186,6903.0,Fruits,B2B
294,2022-01,289,10519.5,Fruits,B2B
294,2022-02,142,5599.0,Fruits,B2B
294,2022-03,157,5908.5,Fruits,B2B
294,2022-04,219,8309.0,Fruits,B2B
294,2022-05,157,5870.0,Fruits,B2B
294,2022-06,164,6263.0,Fruits,B2B
294,2022-07,177,6721.5,Fruits,B2B
294,2022-08,206,7908.0,Fruits,B2B
294,2022-09,164,6188.5,Fruits,B2B
294,2022-10,174,6561.5,Fruits,B2B
294,2022-11,184,6932.0,Fruits,B2B
294,2022-12,197,7368.0,Fruits,B2B
294,2023-01,156,5866.0,Fruits,B2B
294,2023-02,107,4030.5,Fruits,B2B
294,2023-03,147,5569.0,Fruits,B2B
294,2023-04,147,5539.5,Fruits,B2B
294,2023-05,126,4726.5,Fruits,B2B
294,2023-06,150,5732.0,Fruits,B2B
294,2023-07,149,5645.0,Fruits,B2B
294,2023-08,163,6235.5,Fruits,B2B
294,2023-09,135,5116.5,Fruits,B2B
294,2023-10,154,5842.0,Fruits,B2B
294,2023-11,171,6496.5,Fruits,B2B
294,2023-12,126,4814.5,Fruits,B2B
294,2024-01,170,6431.0,Fruits,B2B
294,2024-02,117,4469.5,Fruits,B2B
294,2024-03,140,5320.0,Fruits,B2B
294,2024-04,144,5399.5,Fruits,B2B
294,2024-05,101,3811.0,Fruits,B2B
294,2024-06,14,536.0,Fruits,B2B
703,2018-08,3,5.04,Fruits,B2B
703,2019-01,1,1.68,Fruits,B2B
703,2019-02,12,17.16,Fruits,B2B
703,2019-04,7,11.76,Fruits,B2B
703,2019-05,6,8.4,Fruits,B2B
703,2019-07,3,3.36,Fruits,B2B
703,2019-08,10,16.8,Fruits,B2B
703,2019-09,8,13.44,Fruits,B2B
703,2019-10,2,3.36,Fruits,B2B
703,2019-11,8,12.04,Fruits,B2B
703,2019-12,12,20.16,Fruits,B2B
703,2020-01,5,8.4,Fruits,B2B
703,2020-02,3,5.04,Fruits,B2B
703,2020-06,1,1.68,Fruits,B2B
703,2020-11,1,1.68,Fruits,B2B
703,2020-12,4,6.72,Fruits,B2B
703,2021-01,4,6.72,Fruits,B2B
703,2021-02,4,6.72,Fruits,B2B
703,2021-03,7,11.76,Fruits,B2B
703,2021-04,10,16.8,Fruits,B2B
703,2021-05,10,16.8,Fruits,B2B
703,2021-06,4,6.72,Fruits,B2B
703,2021-07,6,10.08,Fruits,B2B
703,2021-08,1,1.68,Fruits,B2B
703,2021-09,14,23.52,Fruits,B2B
703,2021-10,3,5.04,Fruits,B2B
703,2021-11,12,18.48,Fruits,B2B
703,2021-12,13,21.84,Fruits,B2B
703,2022-01,7,11.76,Fruits,B2B
703,2022-02,2,3.36,Fruits,B2B
703,2022-04,19,31.92,Fruits,B2B
703,2022-05,8,13.44,Fruits,B2B
703,2022-06,7,11.76,Fruits,B2B
703,2022-07,3,5.04,Fruits,B2B
703,2022-08,9,15.12,Fruits,B2B
703,2022-10,6,10.08,Fruits,B2B
703,2022-11,8,13.44,Fruits,B2B
703,2022-12,11,16.8,Fruits,B2B
703,2023-01,5,8.4,Fruits,B2B
703,2023-02,2,3.36,Fruits,B2B
703,2023-03,7,11.76,Fruits,B2B
