train_data_end,train_data_start,horizon,sku,year_month,final_perdiction,Channel,forecast_month,NetWeight,H1,H2,H3,H4,H5,CrossPlantStatus,LeadTime,ServiceLevel,MrpPurchaser,PdProductDescription,ServiceLevel_value,Standard_Dev,Variability,last_year_demand
2024-05-01,2022-04-01,1,1039,2024-06,7.246753990183917e-71,Export_Re-Export,2024-06,25.000,Dairy,Butter,Unsalted,Lactic,,AC,113,0.95,ENLIM,BUTTER UNSALTED/FLECHARD 25KG,1.65,4.841487374764082,0.24501454325729158,2.0
2024-05-01,2022-04-01,2,1039,2024-07,7.246753990183917e-71,Export_Re-Export,2024-07,25.000,Dairy,Butter,Unsalted,Lactic,,AC,113,0.95,ENLIM,BUTTER UNSALTED/FLECHARD 25KG,1.65,4.841487374764082,0.24501454325729158,4.0
2024-05-01,2022-04-01,3,1039,2024-08,7.246753990183917e-71,Export_Re-Export,2024-08,25.000,Dairy,Butter,Unsalted,Lactic,,AC,113,0.95,ENLIM,BUTTER UNSALTED/FLECHARD 25KG,1.65,4.841487374764082,0.24501454325729158,2.0
2024-05-01,2022-04-01,4,1039,2024-09,7.246753990183917e-71,Export_Re-Export,2024-09,25.000,Dairy,Butter,Unsalted,Lactic,,AC,113,0.95,ENLIM,BUTTER UNSALTED/FLECHARD 25KG,1.65,4.841487374764082,0.24501454325729158,
2024-05-01,2022-04-01,5,1039,2024-10,7.246753990183917e-71,Export_Re-Export,2024-10,25.000,Dairy,Butter,Unsalted,Lactic,,AC,113,0.95,ENLIM,BUTTER UNSALTED/FLECHARD 25KG,1.65,4.841487374764082,0.24501454325729158,
2024-05-01,2022-04-01,6,1039,2024-11,7.246753990183917e-71,Export_Re-Export,2024-11,25.000,Dairy,Butter,Unsalted,Lactic,,AC,113,0.95,ENLIM,BUTTER UNSALTED/FLECHARD 25KG,1.65,4.841487374764082,0.24501454325729158,
2024-05-01,2019-01-01,1,1087,2024-06,124.78075777922744,Export_Re-Export,2024-06,2.500,Dairy,Dairy Powder,Others,Others,,AC,113,0.95,ENLIM,ICE CREAM POWDER-STRWBERRY/COMELLE 2.5KG,1.65,251.9982605760074,2.1006857333778544,
2024-05-01,2019-01-01,2,1087,2024-07,124.78075777922744,Export_Re-Export,2024-07,2.500,Dairy,Dairy Powder,Others,Others,,AC,113,0.95,ENLIM,ICE CREAM POWDER-STRWBERRY/COMELLE 2.5KG,1.65,251.9982605760074,2.1006857333778544,
2024-05-01,2019-01-01,3,1087,2024-08,124.78075777922275,Export_Re-Export,2024-08,2.500,Dairy,Dairy Powder,Others,Others,,AC,113,0.95,ENLIM,ICE CREAM POWDER-STRWBERRY/COMELLE 2.5KG,1.65,251.9982605760074,2.1006857333778544,720.0
2024-05-01,2019-01-01,4,1087,2024-09,124.78075777916602,Export_Re-Export,2024-09,2.500,Dairy,Dairy Powder,Others,Others,,AC,113,0.95,ENLIM,ICE CREAM POWDER-STRWBERRY/COMELLE 2.5KG,1.65,251.9982605760074,2.1006857333778544,6.0
2024-05-01,2019-01-01,5,1087,2024-10,102.7692307692308,Export_Re-Export,2024-10,2.500,Dairy,Dairy Powder,Others,Others,,AC,113,0.95,ENLIM,ICE CREAM POWDER-STRWBERRY/COMELLE 2.5KG,1.65,251.9982605760074,2.1006857333778544,
